idLugar	FLAG_alandalus	nisba	major_toponym	nombre	nombre_castellano	lat	lng	idLugarALT
LUG01222	1	الشنبوسي		شنبوس_قرية	São Brás de Alportel	37.15	-7.883333	
LUG00046	1	الباجي		باجة (الأندلس)	Beja (al-Andalus)	38.033333	-7.883333	
LUG00244	1	اليابري		يابرة	Évora	38.571431	-7.913502	
LUG00262	1	الشنتمري		شنتمرية الغرب	Faro	37.016667	-7.933333	
LUG00180	1	المدليني		مدلين (حصن)	Medellín	6.235925	-75.575137	
LUG00013	0	المراكشي		مراكش	Marraquech	31.63	-8.008889	
LUG00257	1	العلياوي		العليا / المدينة العليا	Loulé (Portugal)	37.1379187	-8.020216	
LUG00598	0	التينمللي		تينملل	Tinmal	30.984444	-8.228611	
LUG00936	0	الأزموري		أزمور	Azemmur	33.287778	-8.342222	
LUG00091	1	الشلبي		شلب	Silves	37.183333	-8.433333	
LUG01003	1	القلمري		قلمرية	Coimbra	40.2023788	-8.447156	
LUG01456	1	القلنبري		قلنبرية	Coimbra	40.2023788	-8.447156	
LUG01402	1	NA		قصر أبي دانس	Alcácer do Sal	38.3725	-8.51945	
LUG01319	1	المرجيقي		مرجيق (حصن)	Marachique	37.1293892	-8.5764503	
