idNisba	nombre	nombre_castellano	cat1	gender	nombre_original
NIS00135	الأندرشي	al-Andarašī	_NISBA_GEOGRAFICA	m	الأندرشي
NIS00039	الأندلسي	al-Andalusī	_NISBA_GEOGRAFICA	m	الأندلسي
NIS00452	الأندلسي	al-Andalusiyya	_NISBA_GEOGRAFICA	f	الأندلسية
NIS00130	الأندي	al-Undī	_NISBA_GEOGRAFICA	m	الأندي
NIS00187	الأنطاكي	al-Anṭākī	_NISBA_GEOGRAFICA	m	الأنطاكي
NIS00238	الأوريولي	al-Ūryūlī	_NISBA_GEOGRAFICA	m	الأوريولي
NIS00197	الأوليوري	al-Ūlyūrī	_NISBA_GEOGRAFICA	m	الأوليوري
NIS00243	الإسكندراني	al-Iskandarānī	_NISBA_GEOGRAFICA	m	الإسكندراني
NIS00027	الإشبيلي	al-Išbīlī	_NISBA_GEOGRAFICA	m	الإشبيلي
NIS00046	الإفريقي	al-Ifrīqī	_NISBA_GEOGRAFICA	m	الإفريقي
NIS00272	الإقليشي	NA	_NISBA_GEOGRAFICA	m	الإقليشي
NIS00075	الإلبيري	al-Ilbīrī	_NISBA_GEOGRAFICA	m	الإلبيري
NIS00044	الباجي	al-Bāğī	_NISBA_GEOGRAFICA	m	الباجي
NIS00600	الباخرزي	al-Bāḫarzī	_NISBA_GEOGRAFICA	m	الباخرزي
NIS00245	الباغي	al-Bāgī	_NISBA_GEOGRAFICA	m	الباغي
NIS00163	البتي	al-Batī	_NISBA_GEOGRAFICA	m	البتي
NIS00086	البجاني	al-Bağğānī	_NISBA_GEOGRAFICA	m	البجاني
NIS00325	البجايي	al-Biğāʾī	_NISBA_GEOGRAFICA	m	البجايي
NIS00240	البربشتري	al-Barbaštarī	_NISBA_GEOGRAFICA	m	البربشتري
NIS00314	البرجاني	al-Burğānī	_NISBA_GEOGRAFICA	m	البرجاني
NIS00443	البرجي	al-Barğī	_NISBA_GEOGRAFICA	m	البرجي
NIS00024	البرقي	al-Barqī	_NISBA_GEOGRAFICA	m	البرقي
NIS00285	البزلياني	al-Bizilyānī	_NISBA_GEOGRAFICA	m	البزلياني
NIS00508	البستي	al-Bastī	_NISBA_GEOGRAFICA	m	البستي
